name,tusers,tusersper,salaryavg,dollarshouravg,workweekhrsavg,yearscodeavg,ageavg,id
Afghanistan,21,0.028,93893.33333,43.86666667,44.0952381,5,26.61904762,AFG
Albania               ,70,0.094,31026.82857,15.73714286,40.98571429,6.528571429,25.72857143,ALB
Algeria               ,82,0.11,39430.64634,16.39268293,40.20731707,7.536585366,28.5,DZA
Andorra               ,5,0.007,64372.4,29.44,41.8,11.2,29.8,AND
Angola                ,4,0.005,18872.5,8.975,42,2.5,27.25,AGO
Antigua and Barbuda   ,4,0.005,49071.25,23.225,42.5,6.25,29.75,ATG
Argentina             ,480,0.645,38318.86875,18.67479167,40.12916667,12.23125,30.73333333,ARG
Armenia               ,60,0.081,37400.66667,17.60833333,41.33333333,7.616666667,26.13333333,ARM
Australia             ,1613,2.169,136626.9324,66.38939864,40.39491631,15.28208308,32.65158091,AUS
Austria               ,722,0.971,83097.28393,40.6700831,39.59141274,12.53878116,29.51108033,AUT
Azerbaijan            ,30,0.04,24605.73333,16.63333333,39.7,7.4,27.33333333,AZE
Bahamas               ,1,0.001,61650,28.9,41,6,40,BHS
Bahrain               ,15,0.02,32423,14.76,42.8,8.4,27.46666667,BHR
Bangladesh            ,456,0.613,44274.24781,21.48377193,42.22807018,6.464912281,27.17324561,BGD
Barbados              ,2,0.003,10500,5.05,39.5,6,27,BRB
Belarus               ,178,0.239,38598.8764,19.4011236,40.67977528,9.904494382,28.23595506,BLR
Belgium               ,637,0.856,71236.89953,33.3956044,41.14285714,12.88383046,30.91208791,BEL
Belize                ,3,0.004,59426.33333,26.96666667,44,5.666666667,27,BLZ
Benin                 ,5,0.007,37876,18.08,41,8.2,28.6,BEN
Bhutan                ,2,0.003,37516,17.3,41.5,3,23.5,BTN
Bolivia               ,32,0.043,22851.78125,11.0875,39.65625,9.125,29.9375,BOL
Bosnia and Herzegovina,95,0.128,35802.89474,17.41052632,40.49473684,8.357894737,28.28421053,BIH
Botswana              ,4,0.005,44834.75,21,45.25,5.25,31.25,BWA
Brazil                ,1709,2.298,43075.87771,20.51141018,41.06026916,10.68227033,28.7753072,BRA
Brunei                ,1,0.001,6096,3.5,34,8,23,IOT
Bulgaria              ,577,0.776,55277.60312,25.97920277,41.06585789,10.05025997,29.39514731,BGR
Burkina Faso          ,4,0.005,25022,12.025,39.5,4.5,24,BFA
Burundi               ,3,0.004,14502.66667,4.1,68,7.333333333,25,BDI
CÃÂ´te d'Ivoire  ,33,0.044,51116.53835,25.22977444,40.19398496,12.19398496,29.41203008,BDI
Cambodia              ,23,0.031,33641.78788,18.83030303,40.6969697,7.696969697,28.15151515,KHM
Cameroon              ,44,0.059,42339.08696,20.16956522,40.13043478,8,27.52173913,CMR
Canada                ,2927,3.935,33200.81818,17.05,41.86363636,5.772727273,25.25,CAN
Cape Verde            ,2,0.003,120330.643,58.20659378,40.62931329,13.24256918,31.22548685,CPV
Chad                  ,1,0.001,60511.5,29.1,40,10,27.5,TCD
Chile                 ,179,0.241,6288,3,40,6,27,CHL
China                 ,497,0.668,38961.3743,18.56536313,41.77094972,10.98324022,30.24022346,CHN
Colombia              ,275,0.37,61410.65191,27.12052314,43.93561368,7.531187123,27.54124748,COL
Congo                 ,5,0.007,37746.98182,18.49927273,41.69090909,9.116363636,28.50909091,COG
Costa Rica            ,74,0.099,36406.2,16.46,44,5.8,25.2,CRI
Croatia               ,231,0.311,45570.31081,21.33648649,41.90540541,11.32432432,30.2972973,HRV
Cuba                  ,23,0.031,59609.4329,28.63593074,40.33766234,10.74025974,30.35064935,CUB
Cyprus                ,53,0.071,30930.73913,14.41304348,42.73913043,12.52173913,29.2173913,CYP
Czech Republic        ,665,0.894,49311.50943,23.41886792,41.56603774,11.13207547,29.45283019,CYP
Democratic Republic of,5,0.007,81057.4,37.9,42.8,9,32.6,CZE
Denmark               ,544,0.731,100591.0827,51.53382353,38.63602941,14.09375,32.23897059,DNK
Djibouti              ,2,0.003,9438,4.4,41.5,11,30.5,DJI
Dominica              ,1,0.001,113635,53.3,41,23,30,DMA
Dominican Republic    ,83,0.112,30489.24096,14.38795181,42.13253012,8.084337349,27.69879518,DOM
Ecuador               ,73,0.098,33401.34247,15.63424658,43.45205479,11.28767123,30.93150685,ECU
Egypt                 ,275,0.37,29942.10909,13.48036364,42.39636364,6.730909091,26.14545455,EGY
El Salvador           ,60,0.081,35297.26667,16.735,43.48333333,9.566666667,29.38333333,SLV
Estonia               ,166,0.223,45074.54819,22.51325301,39.36144578,10.8313253,29.30722892,EST
Ethiopia              ,39,0.052,28917.94872,14.94615385,40.41025641,5.666666667,25.43589744,ETH
Fiji                  ,3,0.004,67384.33333,31.16666667,40.33333333,14.33333333,27,FJI
Finland               ,464,0.624,75401.6056,37.52349138,38.71982759,13.59913793,32.02801724,FIN
France                ,2036,2.737,78893.06238,38.0990668,40.05795678,11.74263261,29.73379175,FRA
Gabon                 ,2,0.003,19546.5,9.4,36.5,17.5,36,GAB
Georgia               ,65,0.087,49648.4,22.62461538,42.06153846,7.123076923,26.33846154,GEO
Germany               ,5080,6.83,106430.6539,51.40551181,39.83956693,12.82401575,30.19015748,DEU
Ghana                 ,72,0.097,53874.01389,26.49027778,42.54166667,5.25,26.5,GHA
Greece                ,470,0.632,56436.21277,26.36085106,42.69148936,10.96382979,30.73617021,GRC
Guatemala             ,62,0.083,33615.6129,14.89193548,44.29032258,12.30645161,28.87096774,GTM
Guinea                ,2,0.003,22588,11.1,30.5,6.5,26,GIN
Guyana                ,2,0.003,17765,7.95,42.5,5.5,29,GUY
Haiti                 ,5,0.007,25363.8,13.9,38.8,4.4,24.2,HTI
Honduras              ,26,0.035,32934.69231,15.69615385,40.53846154,8.576923077,28.73076923,HND
Hong Kong             ,164,0.22,88049.07927,38.2902439,43.4695122,11.48170732,28.60365854,HKG
Hungary               ,452,0.608,42275.50442,20.50486726,40.32522124,11.9579646,30.31415929,HUN
Iceland               ,41,0.055,56792.17073,26.56829268,41.53658537,10.63414634,28.70731707,ISL
India                 ,6157,8.278,51067.98652,24.01229495,43.65226571,6.915705701,26.49082345,IND
Indonesia             ,358,0.481,45283.48045,21.7377095,41.46089385,7.480446927,27.13407821,IDN
Iran                  ,598,0.804,37377.19064,17.37090301,43.99498328,8.586956522,27.71070234,IDN
Iraq                  ,24,0.032,27633.58333,14.86666667,40.41666667,6.166666667,25.33333333,IRQ
Ireland               ,449,0.604,188100.706,94.88685969,40.14253898,13.44988864,32.17371938,IRL
Israel                ,788,1.059,87493.94924,39.83642132,43.69162437,12.23984772,31.95558376,ISR
Italy                 ,1367,1.838,86303.79371,41.10950988,40.9012436,13.66788588,31.99561083,ITA
Jamaica               ,25,0.034,43719.48,20.736,40.72,9.8,27.64,JAM
Japan                 ,332,0.446,83062.76205,41.23795181,41.72590361,12.30120482,31.4126506,JPN
Jordan                ,48,0.065,57894.04167,26.07291667,42.5,9.25,28.1875,JOR
Kazakhstan            ,49,0.066,41722,49.32653061,40.59183673,8.102040816,27.08163265,JOR
Kenya                 ,208,0.28,26491.375,12.16201923,41.75480769,4.894230769,25.84134615,KEN
Kuwait                ,15,0.02,97792.33333,46.68666667,42.2,9.8,28.73333333,KWT
Kyrgyzstan            ,14,0.019,25768.71429,12.78571429,40.64285714,7.071428571,26.35714286,KGZ
Laos                  ,2,0.003,85315,36.55,43,8,25.5,LAO
Latvia                ,114,0.153,44267.02632,23.02105263,39.18421053,10.96491228,29.75438596,LVA
Lebanon               ,106,0.143,48049.83962,21.0754717,43.63207547,7.301886792,26.24528302,LBN
Lesotho               ,3,0.004,5848,2.8,42.33333333,6,26,LSO
Liberia               ,2,0.003,18829,9.05,43,2.5,28,LBR
Libya                 ,8,0.011,75290.625,29.45,45.625,8,30.75,LBR
Liechtenstein         ,3,0.004,304258.3333,138.3333333,44.33333333,9.666666667,22.66666667,LIE
Lithuania             ,214,0.288,51490.40654,24.76214953,40.52803738,9.322429907,28.15420561,LTU
Luxembourg            ,53,0.071,128710.7358,61.04528302,42.52830189,15.33962264,33.67924528,LUX
Madagascar            ,14,0.019,25730,18.17142857,39.28571429,8.5,33.21428571,MDG
Malawi                ,2,0.003,5766,2.75,41,6.5,22,MWI
Malaysia              ,216,0.29,34764.92593,15.82777778,42.61574074,8.282407407,28.31481481,MYS
Maldives              ,12,0.016,24134.75,15.89166667,40.66666667,8.666666667,26.75,MDV
Mali                  ,3,0.004,32539.66667,13.36666667,52,11.33333333,30,MLI
Malta                 ,55,0.074,104339.4364,46.45090909,41.45454545,12.74545455,29.12727273,MLT
Mauritania            ,5,0.007,54567.2,24.94,42.4,5.6,27.2,MRT
Mauritius             ,19,0.026,22770.21053,10.36315789,43,9.315789474,27.26315789,MUS
Mexico                ,573,0.77,33151.02269,15.81727749,41.52530541,10.11169284,29.06980803,MEX
Moldova               ,41,0.055,25278.80488,11.73902439,42.19512195,8.146341463,26.36585366,FSM
Monaco                ,3,0.004,64444,25.23333333,47,30.66666667,45.66666667,MCO
Mongolia              ,12,0.016,19627.66667,9.258333333,43.33333333,9.416666667,27.66666667,MNG
Montenegro            ,15,0.02,55015,28.28666667,39.53333333,9.066666667,26.53333333,MNE
Morocco               ,91,0.122,24933.62637,12.45494505,40.85714286,6.263736264,26.04395604,MAR
Mozambique            ,6,0.008,36020.66667,23.83333333,41,6.5,26.66666667,MOZ
Myanmar               ,38,0.051,66003.73684,40.05263158,40.68421053,5.921052632,26.10526316,MMR
Namibia               ,3,0.004,54311.33333,25.63333333,40,10,33.33333333,NAM
Nepal                 ,179,0.241,30486.41341,14.20335196,43.39106145,4.61452514,24.95530726,NPL
Netherlands           ,1598,2.148,99290.15144,48.80525657,39.39486859,13.08823529,30.65394243,NLD
New Zealand           ,458,0.616,127434.9127,61.55829694,40.44323144,14.30349345,31.61572052,NZL
Nicaragua             ,30,0.04,26547.16667,17.81333333,42.73333333,9.566666667,29.66666667,NIC
Nigeria               ,455,0.612,38489.44615,18.21186813,42.61538462,4.835164835,26.03296703,NGA
North Korea           ,1,0.001,0,0,45,8,19,NFK
North Macedonia       ,47,0.063,49556.29787,21.33404255,45.29787234,8.765957447,29.70212766,NFK
Norway                ,507,0.682,146914.7988,70.40315582,40.36094675,14.23076923,32.57790927,NOR
Oman                  ,8,0.011,37192.5,17.15,44,12.125,29,OMN
Pakistan              ,705,0.948,27331.66667,13.2022695,42.4893617,6.177304965,26.29787234,PAK
Panama                ,31,0.042,47123.93548,20.83870968,44,13.58064516,33.4516129,PAN
Papua New Guinea      ,1,0.001,118851,55.8,41,45,63,PNG
Paraguay              ,46,0.062,42907.15217,19.28913043,42.30434783,12.45652174,30.36956522,PRY
Peru                  ,120,0.161,31294,14.605,42.70833333,9.066666667,28.55833333,PER
Philippines           ,301,0.405,38798.76744,18.88571429,42.7641196,7.607973422,26.62458472,PHL
Poland                ,1694,2.277,51091.51004,24.67201889,40.53955136,10.06316411,28.41853601,POL
Portugal              ,467,0.628,58154.79015,29.48779443,40.54389722,12.00428266,30.14561028,PRT
Qatar                 ,12,0.016,143157.6667,54.06666667,45.33333333,12.66666667,31.91666667,QAT
Romania               ,656,0.882,54708.76982,26.80990854,40.5472561,10.62652439,28.87652439,ROU
Russia                ,1456,1.957,44671.31937,21.53282967,40.53090659,11.12431319,29.01098901,ROU
Rwanda                ,10,0.013,23384.9,10.01,42.8,5.9,28.4,RWA
Saint Kitts and Nevis ,1,0.001,60428,29.8,39,1,57,KNA
Saint Vincent and the ,1,0.001,16281,7.5,42,10,28,SPM
San Marino            ,2,0.003,301788,145.1,40,6.5,28.5,SMR
Sao Tome and Principe ,1,0.001,0,0,40,2,27,STP
Saudi Arabia          ,83,0.112,50023.63855,23.0686747,42.08433735,10.71084337,30.46987952,SAU
Senegal               ,20,0.027,44569.15,28.72,39.35,7.85,31.15,SEN
Serbia                ,337,0.453,38450.63205,19.29970326,40.40652819,10.40059347,30.58160237,SEN
Seychelles            ,1,0.001,61308,23.6,50,25,40,SYC
Singapore             ,248,0.333,90012.97581,45.08024194,43.00806452,10.25806452,28.4516129,SGP
Slovakia              ,224,0.301,49019.30804,24.184375,40.49107143,10.93303571,27.75,SVK
Slovenia              ,260,0.35,61516.61154,30.13846154,40.49230769,12.98461538,30.28846154,SVN
Somalia               ,11,0.015,42256.45455,20.07272727,40.63636364,4.272727273,22.90909091,SOM
South Africa          ,540,0.726,71775.18148,32.79351852,42.72037037,11.64444444,30.99814815,ZAF
South Korea           ,160,0.215,80526.31875,41.030625,42.8125,9.56875,28.8875,SGS
Spain                 ,1417,1.905,88110.25335,43.11397318,40.13338038,12.67184192,31.54622442,ESP
Sri Lanka             ,307,0.413,32140.4202,14.8485342,42.62214984,6.667752443,26.83061889,LKA
Sudan                 ,31,0.042,27383.58065,12.71935484,41.64516129,4.677419355,25.70967742,SDN
Sweden                ,1135,1.526,74911.99559,36.47189427,40.28898678,14.48105727,32.36740088,SWE
Switzerland           ,861,1.158,139501.3833,65.38199768,40.80139373,12.94192799,30.25203252,CHE
Syria                 ,25,0.034,23053.72,12.492,42.32,5.64,24.88,CHE
Taiwan                ,158,0.212,44413.10127,22.16772152,41.41772152,9.329113924,28.97468354,SYR
Tajikistan            ,3,0.004,39200.33333,16.93333333,41.66666667,4,25.33333333,TJK
Tanzania              ,26,0.035,37604.38462,16.05384615,46.84615385,8,28.69230769,TJK
Thailand              ,164,0.22,51133.09756,25.81890244,42.07926829,12.41463415,31.01219512,THA
Timor-Leste           ,1,0.001,229500,110.3,40,14,28,TLS
Togo                  ,4,0.005,27742,12.675,42,4,24.5,TGO
Trinidad and Tobago   ,14,0.019,50201.78571,24.17142857,41.5,9.142857143,29.42857143,TTO
Tunisia               ,71,0.095,21498.46479,9.873239437,41.6056338,8.521126761,28.05633803,TUN
Turkey                ,692,0.93,41456.80058,19.4283237,42.39595376,9.846820809,28.84393064,TUR
Turkmenistan          ,3,0.004,28009,11.83333333,45.33333333,9.666666667,24,TKM
Uganda                ,64,0.086,41590.625,22.1578125,39.890625,4.71875,26.9375,UGA
Ukraine               ,736,0.99,46492.52989,22.44673913,40.52038043,9.661684783,28.53668478,UKR
United Arab Emirates  ,129,0.173,55957.55814,26.17131783,42.62015504,9.868217054,29.91472868,ARE
United Kingdom        ,5041,6.777,145433.1272,71.17522317,39.93195794,14.84645904,32.17714739,GBR
United States         ,18325,24.637,210374.0565,97.10408731,42.08829468,13.95727149,32.56032742,USA
Uruguay               ,95,0.128,48884.41053,23.97684211,39.73684211,11.6,29.43157895,URY
Uzbekistan            ,17,0.023,32083.05882,17.58235294,37.88235294,9.352941176,28.05882353,UZB
Venezuela             ,74,0.099,30670.58108,14.90135135,40.35135135,9.864864865,28.82432432,VEN
Vietnam               ,169,0.227,38752.52071,18.35207101,42.17159763,7.236686391,26.90532544,VNM
Yemen                 ,16,0.022,27802.5,10.38125,46.375,6.6875,27.625,YEM
Zambia                ,10,0.013,7899.5,3.09,47.3,5.3,28.2,ZMB
Zimbabwe              ,35,0.047,40452.42857,19.81714286,45.25714286,6.2,27.54285714,ZWE
